Reaction,Flux,Subsystem
LPLIPAL2ATE181,0.0,Glycerophospholipid Metabolism
UDPG4E_reverse,0.0,Alternate Carbon Metabolism
ADNCYC,0.0,Nucleotide Salvage Pathway
QUIN2tpp,0.0,"Transport, Inner Membrane"
CRNt7pp,0.0,"Transport, Inner Membrane"
EX_zn2_LPAREN_e_RPAREN__reverse,0.0002920891865161779,
GALCTNLtex,0.0,"Transport, Outer Membrane Porin"
AMPTASECG,0.0,Cysteine Metabolism
PDH,8.54359828005316,Glycolysis/Gluconeogenesis
thre_DASH_L_to_gly,0.0,
ALLtex,0.0,"Transport, Outer Membrane Porin"
GLYCPHOSPHOLIPID_9,0.011560962123097117,
GAM6Pt6_2pp,0.0,"Transport, Inner Membrane"
GALUi,0.029392826657942794,Cell Envelope Biosynthesis
G3PD2_reverse,0.14572365575685514,Alternate Carbon Metabolism
GLYCPHOSPHOLIPID_1,0.021918408616567388,
CLPNH181pp,0.0,Glycerophospholipid Metabolism
GLYCPHOSPHOLIPID_3,0.014863192648432794,
NI2tpp,0.00027676351932242785,Inorganic Ion Transport and Metabolism
GLYCPHOSPHOLIPID_5,0.005958078499029074,
ARBTtex,0.0,"Transport, Outer Membrane Porin"
GLYCPHOSPHOLIPID_7,0.039814280349692845,
GLYCPHOSPHOLIPID_6,0.03096686282972442,
EX_adn_LPAREN_e_RPAREN_,0.0,
THRA2i,0.0,Threonine and Lysine Metabolism
ASPTA_reverse,2.569689777259601,Alanine and Aspartate Metabolism
SDPTA_reverse,0.3254675881543307,Threonine and Lysine Metabolism
URIK2,0.0,Nucleotide Salvage Pathway
MLTP2_reverse,0.0,Alternate Carbon Metabolism
LPLIPAL1G180pp,0.0,Glycerophospholipid Metabolism
O16AP3pp,0.0,Lipopolysaccharide Biosynthesis / Recycling
NADH17pp,0.0,Oxidative Phosphorylation
UPPRT,0.0,Nucleotide Salvage Pathway
PGPP120,0.0,Glycerophospholipid Metabolism
AMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
SLNTtex_reverse,0.0,"Transport, Outer Membrane Porin"
GAPD_reverse,0.0,Glycolysis/Gluconeogenesis
FEENTERR1,0.0,Inorganic Ion Transport and Metabolism
FEENTERR2,0.0,Inorganic Ion Transport and Metabolism
FEENTERR3,0.0,Inorganic Ion Transport and Metabolism
FECRMR1,0.0,Inorganic Ion Transport and Metabolism
FECRMR2,0.0,Inorganic Ion Transport and Metabolism
FECRMR3,0.0,Inorganic Ion Transport and Metabolism
APH180,0.0,Glycerophospholipid Metabolism
APH181,0.0,Glycerophospholipid Metabolism
23PDE2pp,0.0,Nucleotide Salvage Pathway
UPLA4FNF,0.0,Lipopolysaccharide Biosynthesis / Recycling
BSORy,0.0,Cofactor and Prosthetic Group Biosynthesis
BSORx,0.0,Cofactor and Prosthetic Group Biosynthesis
3UMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
POAACR,0.0,Nucleotide Salvage Pathway
PLIPA1A120pp,0.0,Glycerophospholipid Metabolism
APH160,0.0,Glycerophospholipid Metabolism
APH161,0.0,Glycerophospholipid Metabolism
LIPOPOLYSACCHARIDE_1,0.007348206664485699,
BUTtex,0.0,"Transport, Outer Membrane Porin"
LIPOPOLYSACCHARIDE_3,0.014696413328971397,
LIPOPOLYSACCHARIDE_4,0.022044619993457096,
HXAtex_reverse,0.0,"Transport, Outer Membrane Porin"
AACPS8,0.0,Cell Envelope Biosynthesis
AACPS9,0.0,Cell Envelope Biosynthesis
LPLIPAL2E120,0.0,Glycerophospholipid Metabolism
FACOAE120,0.0,Cell Envelope Biosynthesis
AACPS4,0.0,Cell Envelope Biosynthesis
AACPS5,0.0,Cell Envelope Biosynthesis
AACPS6,0.0,Cell Envelope Biosynthesis
EX_cu_LPAREN_e_RPAREN_,0.0,
AACPS1,0.0,Cell Envelope Biosynthesis
AACPS2,0.0,Cell Envelope Biosynthesis
AACPS3,0.0,Cell Envelope Biosynthesis
DOXRBCNtex_reverse,0.0,"Transport, Outer Membrane Porin"
GLCtex_reverse,0.0,"Transport, Outer Membrane Porin"
XMPtex,0.0,"Transport, Outer Membrane Porin"
GALCTLO,0.0,Alternate Carbon Metabolism
MG2tex,0.007440160667648198,"Transport, Outer Membrane Porin"
ACCOAL,0.0,Alternate Carbon Metabolism
CITL,0.0,Citric Acid Cycle
QUIN2tex_reverse,0.0,"Transport, Outer Membrane Porin"
FORtppi,0.0,"Transport, Inner Membrane"
aspsa_to_sl2a6o,0.3254675881543307,
ACCOAC,1.968797411887745,Membrane Lipid Metabolism
EX_cbi_LPAREN_e_RPAREN_,0.0,
EX_g6p_LPAREN_e_RPAREN_,0.0,
AKGDH,3.324704185552508,Citric Acid Cycle
MANPGH,0.0,Alternate Carbon Metabolism
MDDEP2pp,0.0,Murein Recycling
ATPHs,0.0,Nucleotide Salvage Pathway
MTHFC,0.7636987310521061,Folate Metabolism
XYLabcpp,0.0,"Transport, Inner Membrane"
LCARR_reverse,0.0,Methylglyoxal Metabolism
NADH18pp,0.0,Oxidative Phosphorylation
UDCPDPS,4.958304092095647e-05,Cofactor and Prosthetic Group Biosynthesis
MMETtex,0.0,"Transport, Outer Membrane Porin"
COLIPAKpp,0.0,Lipopolysaccharide Biosynthesis / Recycling
GALCTtex_reverse,0.0,"Transport, Outer Membrane Porin"
METSOX2abcpp,0.0,"Transport, Inner Membrane"
VALtex_reverse,0.0,"Transport, Outer Membrane Porin"
RMNtpp,0.0,"Transport, Inner Membrane"
G2PP,0.0,Alternate Carbon Metabolism
PPGPPDP,0.0,Cofactor and Prosthetic Group Biosynthesis
ALAt2pp,0.0,"Transport, Inner Membrane"
RFAMPtex,0.0,"Transport, Outer Membrane"
TRPS3,0.04979399422232892,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
OCTDPS,0.0006031100795680742,Cofactor and Prosthetic Group Biosynthesis
LIPAHT2ex,0.0,Lipopolysaccharide Biosynthesis / Recycling
EX_mso3_LPAREN_e_RPAREN_,0.0,
EX_arbt_LPAREN_e_RPAREN_,0.0,
MALt2_3pp,0.0,"Transport, Inner Membrane"
MOCOS,0.00011719627854044176,Cofactor and Prosthetic Group Biosynthesis
MALTPTtexi,0.0,"Transport, Outer Membrane"
METSOX2tex_reverse,0.0,"Transport, Outer Membrane Porin"
SERTRS2,0.0,tRNA Charging
DHAtpp,0.0,"Transport, Inner Membrane"
GPDDA2pp,0.0,Glycerophospholipid Metabolism
R5Ptex_reverse,0.0,"Transport, Outer Membrane Porin"
AGMT,0.0,Arginine and Proline Metabolism
EX_3hcinnm_LPAREN_e_RPAREN_,0.0,
CPGNUtpp,0.0,Inorganic Ion Transport and Metabolism
ACtex_reverse,1.6488637620698632,"Transport, Outer Membrane Porin"
SUCRtex_reverse,0.0,"Transport, Outer Membrane Porin"
TPI,7.312900874304376,Glycolysis/Gluconeogenesis
EX_enlipa_LPAREN_e_RPAREN_,0.0,
NO3tex_reverse,0.0,"Transport, Outer Membrane Porin"
PGI_reverse,0.0,Glycolysis/Gluconeogenesis
GLYCLTt4pp,0.0,"Transport, Inner Membrane"
EX_pydxn_LPAREN_e_RPAREN_,0.0,
FBA3,1.3939824335754425,Pentose Phosphate Pathway
MDDCP1pp,0.004911425580679436,Murein Biosynthesis
FACOAL60t2pp,0.0,Cell Envelope Biosynthesis
ULA4NFT,0.0,Lipopolysaccharide Biosynthesis / Recycling
UDPKAAT,0.0,Lipopolysaccharide Biosynthesis / Recycling
CYNTAH,0.0,Nitrogen Metabolism
CYTDH,0.0,Alternate Carbon Metabolism
THMDt2pp,0.0,"Transport, Inner Membrane"
EX_lipa_cold_LPAREN_e_RPAREN_,0.0,
CTBTt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_eca4colipa_LPAREN_e_RPAREN_,0.0,
AGM4PCPpp,0.0,Murein Recycling
CU2tpp,0.0006076176287404442,Inorganic Ion Transport and Metabolism
EX_gthrd_LPAREN_e_RPAREN_,0.0,
PAPA140,0.0,Glycerophospholipid Metabolism
PAPA141,0.0,Glycerophospholipid Metabolism
5DGLCNtex,0.0,"Transport, Outer Membrane Porin"
ALLTNtex,0.0,"Transport, Outer Membrane Porin"
G3PCtex,0.0,"Transport, Outer Membrane Porin"
ALR4x,0.0,Glycerophospholipid Metabolism
SULFACtex_reverse,0.0,"Transport, Outer Membrane Porin"
CYStex,0.0,"Transport, Outer Membrane Porin"
QMO2,0.0,Oxidative Phosphorylation
PAPA120pp,0.0,Glycerophospholipid Metabolism
EX_agm_LPAREN_e_RPAREN_,0.0,
DAMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_udpglcur_LPAREN_e_RPAREN_,0.0,
GLNtex_reverse,0.0,"Transport, Outer Membrane Porin"
UMPSYN_aerobic,0.2887752363629882,
PSD180,0.0,Glycerophospholipid Metabolism
EX_o16a4colipa_LPAREN_e_RPAREN_,0.0,
FORtex,0.0,"Transport, Outer Membrane Porin"
SO4tex,0.22716515273427712,"Transport, Outer Membrane Porin"
ARGDCpp,0.0,Arginine and Proline Metabolism
SO2tex_reverse,0.0,"Transport, Outer Membrane Porin"
DAGK120,0.0,Glycerophospholipid Metabolism
PYDXtpp,0.0,"Transport, Inner Membrane"
UDPGtex_reverse,0.0,"Transport, Outer Membrane Porin"
CSNt2pp,0.0,"Transport, Inner Membrane"
SUCCt2_2pp,0.0,"Transport, Inner Membrane"
EX_galctn_DASH_L_LPAREN_e_RPAREN_,0.0,
NTD5pp,0.0,Nucleotide Salvage Pathway
PAPA160pp,0.0,Glycerophospholipid Metabolism
GLUtex_reverse,0.0,"Transport, Outer Membrane Porin"
THRAi,0.0,Threonine and Lysine Metabolism
GARFT,0.2884759351591484,Purine and Pyrimidine Biosynthesis
G3PT,0.0,Alternate Carbon Metabolism
GDPtex_reverse,0.0,"Transport, Outer Membrane Porin"
GLYCAtex,0.0,"Transport, Outer Membrane Porin"
ADOCBIK,0.0,Cofactor and Prosthetic Group Biosynthesis
MALTHXabcpp,0.0,"Transport, Inner Membrane"
2AGPG161tipp,0.0,"Transport, Inner Membrane"
HXPRT,0.0,Nucleotide Salvage Pathway
GDPDPK,0.0,Cofactor and Prosthetic Group Biosynthesis
EX_cytd_LPAREN_e_RPAREN_,0.0,
ACOAD2f,0.0,Membrane Lipid Metabolism
GLCP,0.0,Glycolysis/Gluconeogenesis
DDPGALA,0.0,Alternate Carbon Metabolism
LALADGLUtex_reverse,0.0,"Transport, Outer Membrane Porin"
CBIAT_reverse,0.0,Cofactor and Prosthetic Group Biosynthesis
QUIN2tpp_reverse,0.0,"Transport, Inner Membrane"
DHAtex_reverse,0.0,"Transport, Outer Membrane Porin"
ARBabcpp,0.0,"Transport, Inner Membrane"
TRSARr,0.0,Alternate Carbon Metabolism
PUNP5_reverse,0.0,Nucleotide Salvage Pathway
MNtex,0.0005931934713816206,"Transport, Outer Membrane Porin"
G3PEtex,0.0,"Transport, Outer Membrane Porin"
LPLIPAL1A161pp,0.0,Glycerophospholipid Metabolism
PUNP4,0.0,Nucleotide Salvage Pathway
AACTOOR,0.0,Methylglyoxal Metabolism
QMO3,0.0,Oxidative Phosphorylation
FACOAL161t2pp,0.0,Cell Envelope Biosynthesis
UACMAMO,0.0,Cell Envelope Biosynthesis
26DAHtex_reverse,0.0,"Transport, Outer Membrane Porin"
PDX5POi,0.0,Cofactor and Prosthetic Group Biosynthesis
CLPNS181pp_reverse,0.0,Glycerophospholipid Metabolism
CFAS180E,0.0,Glycerophospholipid Metabolism
ARBTNtonex,0.0,"Transport, Outer Membrane"
PYRtex_reverse,0.0,"Transport, Outer Membrane Porin"
ASO3tex,0.0,"Transport, Outer Membrane Porin"
INSH,0.0,Nucleotide Salvage Pathway
PLIPA2A120pp,0.0,Glycerophospholipid Metabolism
INSK,0.0,Nucleotide Salvage Pathway
TYRPtex,0.0,"Transport, Outer Membrane Porin"
PYRt2rpp,0.0,"Transport, Inner Membrane"
AMANAPEr,0.0,Alternate Carbon Metabolism
EX_g3pe_LPAREN_e_RPAREN_,0.0,
ACGALtex_reverse,0.0,"Transport, Outer Membrane Porin"
GND,4.751631198632725,Pentose Phosphate Pathway
ILETA_reverse,0.2545016354587535,"Valine, Leucine, and Isoleucine Metabolism"
GNK,0.0,Alternate Carbon Metabolism
NADH10,0.0,Oxidative Phosphorylation
GLCNt2rpp,0.0,"Transport, Inner Membrane"
LYSabcpp,0.0,"Transport, Inner Membrane"
CLPNS180pp,0.0,Glycerophospholipid Metabolism
SELNPS,0.0,Unassigned
EX_cbl1_LPAREN_e_RPAREN__reverse,0.00020103669318860393,
PLIPA2A161pp,0.0,Glycerophospholipid Metabolism
QUIN2tex,0.0,"Transport, Outer Membrane Porin"
PLIPA2E140pp,0.0,Glycerophospholipid Metabolism
CLPNS161pp_reverse,0.0,Glycerophospholipid Metabolism
EX_damp_LPAREN_e_RPAREN_,0.0,
ACOAD7f,0.0,Membrane Lipid Metabolism
CYTDt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_ag_LPAREN_e_RPAREN_,0.0,
GLYtex,0.0,"Transport, Outer Membrane Porin"
SELtpp,0.0,Inorganic Ion Transport and Metabolism
ALAALAD,0.0,Murein Recycling
ASTPathway,0.0,
ACONTa,4.305678506388412,Citric Acid Cycle
DADK,0.0,Nucleotide Salvage Pathway
2AGPE140tipp,0.0,"Transport, Inner Membrane"
LPLIPAL2ATG141,0.0,Glycerophospholipid Metabolism
LPLIPAL2ATG140,0.0,Glycerophospholipid Metabolism
DADA,0.0,Nucleotide Salvage Pathway
ALAALAr,0.021890461811684667,Cell Envelope Biosynthesis
PSSA141,0.0,Glycerophospholipid Metabolism
PSSA140,0.0,Glycerophospholipid Metabolism
N2Otex_reverse,0.0,"Transport, Outer Membrane Porin"
2AGPEAT120,0.0,Glycerophospholipid Metabolism
EX_thymd_LPAREN_e_RPAREN_,0.0,
EX_hg2_LPAREN_e_RPAREN_,0.0,
PA180abcpp,0.0,"Transport, Inner Membrane"
2AGPA140tipp,0.0,"Transport, Inner Membrane"
MALt2_2pp,0.0,"Transport, Inner Membrane"
NTPP10,0.0,Nucleotide Salvage Pathway
HPYRI_reverse,0.0,Alternate Carbon Metabolism
EX_colipap_LPAREN_e_RPAREN_,0.0,
METSOX1tex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_duri_LPAREN_e_RPAREN_,0.0,
NOVBCNtex,0.0,"Transport, Outer Membrane"
GLYBabcpp,0.0,"Transport, Inner Membrane"
GLYC3Ptex_reverse,0.0,"Transport, Outer Membrane Porin"
LPLIPAL2A140,0.0,Glycerophospholipid Metabolism
LPLIPAL2A141,0.0,Glycerophospholipid Metabolism
EX_cynt_LPAREN_e_RPAREN_,0.0,
GLCRD,0.0,Alternate Carbon Metabolism
EX_5dglcn_LPAREN_e_RPAREN_,0.0,
SUCCt3pp,0.0,"Transport, Inner Membrane"
23CUMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
UGLCURPpp,0.0,Alternate Carbon Metabolism
EAR161y,0.0,Cell Envelope Biosynthesis
ALLTN,0.0,Nitrogen Metabolism
G6PDH2r_reverse,0.0,Pentose Phosphate Pathway
3CMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
DASYN180,0.0,Glycerophospholipid Metabolism
ALAALAabcpp,0.002970474906082735,"Transport, Inner Membrane"
EX_ura_LPAREN_e_RPAREN_,0.0,
EX_lac_DASH_L_LPAREN_e_RPAREN_,0.0,
SERt4pp,0.0,"Transport, Inner Membrane"
NTD4pp,0.0,Nucleotide Salvage Pathway
AGDC,0.0,Alternate Carbon Metabolism
FCI,0.0,Alternate Carbon Metabolism
TRPt2rpp,0.0,"Transport, Inner Membrane"
PROtex_reverse,0.0,"Transport, Outer Membrane Porin"
PNTOtex,0.0,"Transport, Outer Membrane Porin"
ASCBPL,0.0,Alternate Carbon Metabolism
PSP_Lpp,0.0,Glycine and Serine Metabolism
ASCBptspp,0.0,"Transport, Inner Membrane"
PG120abcpp,0.0,"Transport, Inner Membrane"
ETOHtex,0.0,"Transport, Outer Membrane Porin"
EX_aso3_LPAREN_e_RPAREN_,0.0,
EX_val_DASH_L_LPAREN_e_RPAREN_,0.0,
EX_ala_DASH_B_LPAREN_e_RPAREN_,0.0,
AGM3PApp,0.0,Murein Recycling
XTSNt2rpp,0.0,"Transport, Inner Membrane"
PLIPA2G140pp,0.0,Glycerophospholipid Metabolism
VPAMTr,0.0,"Valine, Leucine, and Isoleucine Metabolism"
MALTTRtexi,0.0,"Transport, Outer Membrane"
RNDR3,0.02308946989213688,Nucleotide Salvage Pathway
RNDR2,0.02308946989213688,Nucleotide Salvage Pathway
RNDR1,0.022361951455351217,Nucleotide Salvage Pathway
PSCVT,0.33529314384519654,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
MTHTHFSs,0.0012080231788082632,Methionine Metabolism
RNDR1b,0.0,Nucleotide Salvage Pathway
GMAND,0.0,Cell Envelope Biosynthesis
PDXPP,0.0,Cofactor and Prosthetic Group Biosynthesis
GALCTNLt2pp,0.0,"Transport, Inner Membrane"
2AGPA160tipp,0.0,"Transport, Inner Membrane"
K2L4Aabcpp,0.0,"Transport, Inner Membrane"
DC6PH,0.0,Alternate Carbon Metabolism
CHLabcpp,0.0,"Transport, Inner Membrane"
GLYC3Pt6pp,0.0,"Transport, Inner Membrane"
SPMDtex,0.0,"Transport, Outer Membrane Porin"
RNTR2c2,0.0,Nucleotide Salvage Pathway
ASNt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_dgmp_LPAREN_e_RPAREN_,0.0,
DSERDHr_reverse,0.0,Glycine and Serine Metabolism
CYSDabcpp,0.0,"Transport, Inner Membrane"
LCARS_reverse,0.0,Alternate Carbon Metabolism
HPPPNtex,0.0,"Transport, Outer Membrane Porin"
GDPtex,0.0,"Transport, Outer Membrane Porin"
FACOAL180t2pp,0.0,Cell Envelope Biosynthesis
LPLIPAL2ATE140,0.0,Glycerophospholipid Metabolism
DOPAtex_reverse,0.0,"Transport, Outer Membrane Porin"
RFAMPtpp,0.0,"Transport, Outer Membrane"
PYK,1.1214250850215022,Glycolysis/Gluconeogenesis
CLPNS181pp,0.0010637816052132406,Glycerophospholipid Metabolism
LA4NTpp,0.0,Lipopolysaccharide Biosynthesis / Recycling
CHOLD,0.0,Unassigned
PLIPA2A160pp,0.0,Glycerophospholipid Metabolism
LEUt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_ttdca_LPAREN_e_RPAREN_,0.0,
AM4PCP,0.0,Murein Recycling
FRUpts2pp,0.0,"Transport, Inner Membrane"
BUTSO3abcpp,0.0,"Transport, Inner Membrane"
EX_skm_LPAREN_e_RPAREN_,0.0,
ACONTb_reverse,0.0,Citric Acid Cycle
MG2tex_reverse,0.0,"Transport, Outer Membrane Porin"
FA100ACPHi,0.0,Cell Envelope Biosynthesis
FESD2s,0.0,Cofactor and Prosthetic Group Biosynthesis
EX_ocdca_LPAREN_e_RPAREN_,0.0,
ASPt2pp,0.0,"Transport, Inner Membrane"
EX_dimp_LPAREN_e_RPAREN_,0.0,
TDSR1,0.0,"Transport, Inner Membrane"
TDSR2,0.0,"Transport, Inner Membrane"
APG3PAT141,0.0,Glycerophospholipid Metabolism
APG3PAT140,0.0,Glycerophospholipid Metabolism
MICITDr_reverse,0.0,Alternate Carbon Metabolism
NADH5,0.0,Oxidative Phosphorylation
CU2tex_reverse,0.0,"Transport, Outer Membrane Porin"
LCARS,0.0,Alternate Carbon Metabolism
CHORM,0.2832877459977907,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
BALAtex,0.0,"Transport, Outer Membrane Porin"
DHACOAH_reverse,0.0,Alternate Carbon Metabolism
PLIPA1E120pp,0.0,Glycerophospholipid Metabolism
MAN6PI_reverse,0.0,Alternate Carbon Metabolism
CHORS,0.33529314384519654,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
FRULYStex,0.0,"Transport, Outer Membrane Porin"
MCTP1Bpp,0.001212530727976109,Murein Biosynthesis
HYXNtex_reverse,0.0,"Transport, Outer Membrane Porin"
HCO3E,2.360829781723522,Unassigned
EX_3gmp_LPAREN_e_RPAREN_,0.0,
AGPAT180,0.0,Glycerophospholipid Metabolism
XANtex_reverse,0.0,"Transport, Outer Membrane Porin"
CHTBSptspp,0.0,"Transport, Inner Membrane"
2AGPE180tipp,0.0,"Transport, Inner Membrane"
N2Otpp_reverse,0.0,Inorganic Ion Transport and Metabolism
AM4PA,0.0,Murein Recycling
AMANK,0.0,Alternate Carbon Metabolism
3NTD7pp,0.0,Nucleotide Salvage Pathway
TARTRtex,0.0,"Transport, Outer Membrane Porin"
LPLIPAL1G140pp,0.0,Glycerophospholipid Metabolism
THRt2pp,0.0,"Transport, Inner Membrane"
GLCRtex_reverse,0.0,"Transport, Outer Membrane Porin"
3GMPtex,0.0,"Transport, Outer Membrane Porin"
EX_slnt_LPAREN_e_RPAREN_,0.0,
ACACT8r,0.0,Membrane Lipid Metabolism
MNLtex,0.0,"Transport, Outer Membrane Porin"
CELLENV_5,0.0644182867645062,
CELLENV_4,0.1534441859831655,
CELLENV_7,0.12889246713877783,
ICDHyr,4.305678506388412,Citric Acid Cycle
CELLENV_1,0.0248609367177674,
CELLENV_3,0.10935494599625128,
CELLENV_2,0.043836817233134776,
hom_DASH_L_to_thr_DASH_L,0.47672921882713915,
CLPNS160pp_reverse,0.0,Glycerophospholipid Metabolism
CELLENV_8,0.007348206664485699,
LIPACabcpp,0.0,Lipopolysaccharide Biosynthesis / Recycling
THRabcpp,0.0,"Transport, Inner Membrane"
PHEMEtiex,0.0,"Transport, Outer Membrane"
MCPST,0.0,Cysteine Metabolism
EX_gam_LPAREN_e_RPAREN_,0.0,
FBP,0.0,Glycolysis/Gluconeogenesis
HISabcpp,0.0,"Transport, Inner Membrane"
LPLIPAL1E180pp,0.0,Glycerophospholipid Metabolism
FEENTERtpp,0.0,"Transport, Inner Membrane"
COBALT2tpp,2.1636236038235402e-05,Inorganic Ion Transport and Metabolism
FBA,6.066696637399589,Glycolysis/Gluconeogenesis
FBA_reverse,0.0,Glycolysis/Gluconeogenesis
2AGPE141tipp,0.0,"Transport, Inner Membrane"
CBIAT,0.0,Cofactor and Prosthetic Group Biosynthesis
CMtpp,0.0,"Transport, Outer Membrane"
AMPtex,0.0,"Transport, Outer Membrane Porin"
SELCYSS,0.0,tRNA Charging
EX_pydam_LPAREN_e_RPAREN_,0.0,
ACGAtex,0.0,"Transport, Outer Membrane Porin"
ACOAD8f,0.0,Membrane Lipid Metabolism
ARGTRS,0.0,tRNA Charging
GLYC2Ptex_reverse,0.0,"Transport, Outer Membrane Porin"
MDDEP4pp,0.0,Murein Recycling
TGBPA_reverse,0.0,Alternate Carbon Metabolism
PPKr_reverse,2.950697583324147,Oxidative Phosphorylation
ACACtex,0.0,"Transport, Outer Membrane Porin"
LPLIPAL1G181pp,0.0,Glycerophospholipid Metabolism
EX_gmp_LPAREN_e_RPAREN_,0.0,
TARTRDtex,0.0,"Transport, Outer Membrane Porin"
GLUSy,7.481314591643216,Glutamate Metabolism
GUAt2pp,0.0,"Transport, Inner Membrane"
ICDHyr_reverse,0.0,Citric Acid Cycle
TREtex_reverse,0.0,"Transport, Outer Membrane Porin"
LSERDHr_reverse,0.0,Glycine and Serine Metabolism
TUNGSabcpp,0.0,Inorganic Ion Transport and Metabolism
PPND,0.12099704400449178,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
PLIPA2G181pp,0.0,Glycerophospholipid Metabolism
A5PISO_reverse,0.0,Alternate Carbon Metabolism
ACONTa_reverse,0.0,Citric Acid Cycle
EX_rib_DASH_D_LPAREN_e_RPAREN_,0.0,
ICL,0.0,Anaplerotic Reactions
TRPAS2_reverse,0.04979399422232892,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
DGK1,0.0,Nucleotide Salvage Pathway
ALAabcpp,0.0,"Transport, Inner Membrane"
EX_gsn_LPAREN_e_RPAREN_,0.0,
EX_acald_LPAREN_e_RPAREN_,0.0,
EX_sucr_LPAREN_e_RPAREN_,0.0,
EX_cys_DASH_L_LPAREN_e_RPAREN_,0.0,
FALDtex,0.0,"Transport, Outer Membrane Porin"
EX_fe3dcit_LPAREN_e_RPAREN_,0.0,
PFK,6.066696637399589,Glycolysis/Gluconeogenesis
PFL,0.10154606774474308,Pyruvate Metabolism
GRXR,0.0,Unassigned
EX_23dappa_LPAREN_e_RPAREN_,0.0,
PEAMNtex,0.0,"Transport, Outer Membrane Porin"
FUCtpp,0.0,"Transport, Inner Membrane"
DSERtex_reverse,0.0,"Transport, Outer Membrane Porin"
GLUt2rpp,0.0,"Transport, Inner Membrane"
ALLULPE,0.0,Alternate Carbon Metabolism
EX_ile_DASH_L_LPAREN_e_RPAREN_,0.0,
EX_tartr_DASH_D_LPAREN_e_RPAREN_,0.0,
AADDGT,0.0,Cell Envelope Biosynthesis
GUAPRT,0.0,Nucleotide Salvage Pathway
O16A4Lpp,0.0,Lipopolysaccharide Biosynthesis / Recycling
3pg_to_ser_DASH_L,1.4289228382136763,
GLYCLTtex_reverse,0.0,"Transport, Outer Membrane Porin"
TYRTRS,0.0,tRNA Charging
ARBTNtpp,0.0,Inorganic Ion Transport and Metabolism
EX_hxa_LPAREN_e_RPAREN_,0.0,
23CCMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
PGK_reverse,15.90487954164412,Glycolysis/Gluconeogenesis
FORCT,0.0,Alternate Carbon Metabolism
ATPM,3.15,Unassigned
TYRt2rpp_reverse,0.0,"Transport, Inner Membrane"
3NTD4pp,0.0,Nucleotide Salvage Pathway
UDPGALtex,0.0,"Transport, Outer Membrane Porin"
APH140,0.0,Glycerophospholipid Metabolism
APH141,0.0,Glycerophospholipid Metabolism
FACOAE141,0.0,Cell Envelope Biosynthesis
FACOAE140,0.0,Cell Envelope Biosynthesis
BUTSO3tex_reverse,0.0,"Transport, Outer Membrane Porin"
3HPPtex_reverse,0.0,"Transport, Outer Membrane Porin"
FACOAL100t2pp,0.0,Cell Envelope Biosynthesis
GLCRAL,0.0,Alternate Carbon Metabolism
SHK3Dr_reverse,0.0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
NNDMBRT,0.0,Cofactor and Prosthetic Group Biosynthesis
DINSt2pp,0.0,"Transport, Inner Membrane"
NACtex_reverse,0.0,"Transport, Outer Membrane Porin"
PYNP2r,0.0,Nucleotide Salvage Pathway
EX_etoh_LPAREN_e_RPAREN_,0.0,
NI2tex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_acgal1p_LPAREN_e_RPAREN_,0.0,
CDGR,0.0,Cofactor and Prosthetic Group Biosynthesis
CDGS,0.0,Cofactor and Prosthetic Group Biosynthesis
ACODA,0.2951849712893155,Arginine and Proline Metabolism
EX_lipa_LPAREN_e_RPAREN_,0.0,
2AGPGAT120,0.0,Glycerophospholipid Metabolism
MEOHtex_reverse,1.8030196698529501e-06,"Transport, Outer Membrane Porin"
DKGLCNR2x,0.0,Alternate Carbon Metabolism
EX_ser_DASH_L_LPAREN_e_RPAREN_,0.0,
NDPK1_reverse,0.0,Nucleotide Salvage Pathway
PTAr_reverse,0.0,Pyruvate Metabolism
ETOHtrpp_reverse,0.0,"Transport, Inner Membrane"
PPAtex,0.0,"Transport, Outer Membrane Porin"
GPDDA5pp,0.0,Glycerophospholipid Metabolism
EX_dad_DASH_2_LPAREN_e_RPAREN_,0.0,
TYRPtex_reverse,0.0,"Transport, Outer Membrane Porin"
PROtex,0.0,"Transport, Outer Membrane Porin"
MNLptspp,0.0,"Transport, Inner Membrane"
NAt3_2pp,0.0,Inorganic Ion Transport and Metabolism
D_DASH_LACt2pp_reverse,0.0,"Transport, Inner Membrane"
GTPDPK,0.0,Cofactor and Prosthetic Group Biosynthesis
