ac,swissprot_entry_name,ecogene_accession_number,ordered_locus_name,biologicalmaterial_id,gene_name,ordered_locus_name2
P36553,HEM6_ECOLI,EG12189,b2436,MG1655,hemF,JW2429
P37641,YHJC_ECOLI,EG12247,b3521,MG1655,yhjC,JW3489
P0ADP5,YIGM_ECOLI,EG11471,b3827,MG1655,yigM,JW3803
P30192,YCHG_ECOLI,EG11611,b4573,MG1655,ychG,JW1227/JW5883
P31665,YADD_ECOLI,EG11748,b0132,MG1655,yadD,JW5010
P77746,YBDO_ECOLI,EG13534,b0603,MG1655,ybdO,JW0596
P0C0U4,RIMK_ECOLI,EG10852,b0852,MG1655,rimK,JW0836
P0AEG1,DPPC_ECOLI,EG12626,b3542,MG1655,dppC,JW3511
P0AAJ5,FDOH_ECOLI,EG11857,b3893,MG1655,fdoH,JW3864
P69380,FIEF_ECOLI,EG11873,b3915,MG1655,fieF,JW3886
P69380,FIEF_ECOLI,EG11873,b3915,MG1655,yiiP,JW3886
P15028,FECB_ECOLI,EG10287,b4290,MG1655,fecB,JW4250
P08191,FIMH_ECOLI,EG10315,b4320,MG1655,fimH,JW4283
P0A9G2,NHAR_ECOLI,EG11078,b0020,MG1655,nhaR,JW0019
P0A9G2,NHAR_ECOLI,EG11078,b0020,MG1655,antO,JW0019
P0CF53,INSD1_ECOLI,EG40004,b0361,MG1655,insD1,JW0352
P0AFR0,RSSA_ECOLI,EG12120,b1234,MG1655,rssA,JW1222
P0AFR0,RSSA_ECOLI,EG12120,b1234,MG1655,ychK,JW1222
P76045,OMPG_ECOLI,EG13428,b1319,MG1655,ompG,JW1312
Q47129,FEAR_ECOLI,EG13422,b1384,MG1655,feaR,JW1379
Q47129,FEAR_ECOLI,EG13422,b1384,MG1655,maoB,JW1379
Q47129,FEAR_ECOLI,EG13422,b1384,MG1655,maoR,JW1379
Q47129,FEAR_ECOLI,EG13422,b1384,MG1655,ydbM,JW1379
P0CF54,INSD2_ECOLI,EG40004,b1402,MG1655,insD2,JW1397
P0CF55,INSD3_ECOLI,EG40004,b1996,MG1655,insD3,JW1975
P06616,ERA_ECOLI,EG10270,b2566,MG1655,era,JW2550
P06616,ERA_ECOLI,EG10270,b2566,MG1655,rbaA,JW2550
P06616,ERA_ECOLI,EG10270,b2566,MG1655,sdgE,JW2550
P0CF56,INSD4_ECOLI,EG40004,b2860,MG1655,insD4,JW2826
P0CF57,INSD5_ECOLI,EG40004,b3045,MG1655,insD5,JW3013
P45552,YHFZ_ECOLI,EG12921,b3383,MG1655,yhfZ,JW5948
P0ABT8,YIJE_ECOLI,EG11902,b3943,MG1655,yijE,JW5557
P0CF58,INSD6_ECOLI,EG40004,b4273,MG1655,insD6,JW4230
P39359,YJHH_ECOLI,EG12550,b4298,MG1655,yjhH,JW5775
P75682,YAGE_ECOLI,EG13344,b0268,MG1655,yagE,JW0261
P23917,MAK_ECOLI,EG11288,b0394,MG1655,mak,JW0385
P23917,MAK_ECOLI,EG11288,b0394,MG1655,yajF,JW0385
P0A9I1,CITE_ECOLI,EG13542,b0616,MG1655,citE,JW0608
P0A9I1,CITE_ECOLI,EG13542,b0616,MG1655,ybdW,JW0608
P37902,GLTI_ECOLI,EG12700,b0655,MG1655,gltI,JW5092
P37902,GLTI_ECOLI,EG12700,b0655,MG1655,ybeJ,JW5092
P37902,GLTI_ECOLI,EG12700,b0655,MG1655,yzzK,JW5092
P75767,GNGF_ECOLI,EG13667,b0780,MG1655,ybhK,JW0763
P75836,YCAN_ECOLI,EG13698,b0900,MG1655,ycaN,JW0883
P0AEP3,GALU_ECOLI,EG11319,b1236,MG1655,galU,JW1224
P0AEP3,GALU_ECOLI,EG11319,b1236,MG1655,ychD,JW1224
P0AFH6,OPPC_ECOLI,EG10676,b1245,MG1655,oppC,JW1237
P77744,ABGR_ECOLI,EG13353,b1339,MG1655,abgR,JW1333
Q46888,YGBJ_ECOLI,EG13104,b2736,MG1655,ygbJ,JW2706
P21156,CYSD_ECOLI,EG10186,b2752,MG1655,cysD,JW2722
P0ACH8,MELR_ECOLI,EG11230,b4118,MG1655,melR,JW4079
P36767,RDGC_ECOLI,EG12158,b0393,MG1655,rdgC,JW0384
P36767,RDGC_ECOLI,EG12158,b0393,MG1655,yaiD,JW0384
P0A9J4,PANE_ECOLI,EG13271,b0425,MG1655,panE,JW0415
P0A9J4,PANE_ECOLI,EG13271,b0425,MG1655,apbA,JW0415
P75799,GSID_ECOLI,EG13475,b0832,MG1655,gsiD,JW0816
P75799,GSID_ECOLI,EG13475,b0832,MG1655,yliD,JW0816
P75959,NAGK_ECOLI,EG13442,b1119,MG1655,nagK,JW1105
P75959,NAGK_ECOLI,EG13442,b1119,MG1655,ycfX,JW1105
P77335,HLYE_ECOLI,EG13243,b1182,MG1655,hlyE,JW5181
P77335,HLYE_ECOLI,EG13243,b1182,MG1655,clyA,JW5181
P77335,HLYE_ECOLI,EG13243,b1182,MG1655,hpr,JW5181
P77335,HLYE_ECOLI,EG13243,b1182,MG1655,sheA,JW5181
P77335,HLYE_ECOLI,EG13243,b1182,MG1655,ycgD,JW5181
P77402,YDIP_ECOLI,EG13975,b1696,MG1655,ydiP,JW1686
P16703,CYSM_ECOLI,EG10193,b2421,MG1655,cysM,JW2414
P05847,TTDA_ECOLI,EG11168,b3061,MG1655,ttdA,JW3033
P05847,TTDA_ECOLI,EG11168,b3061,MG1655,ygjA,JW3033
P00960,SYGA_ECOLI,EG10409,b3560,MG1655,glyQ,JW3531
P00960,SYGA_ECOLI,EG10409,b3560,MG1655,glyS(A),JW3531
P39376,YJIE_ECOLI,EG12566,b4327,MG1655,yjiE,JW4290
P39376,YJIE_ECOLI,EG12566,b4327,MG1655,qseD,JW4290
P22564,RIHC_ECOLI,EG11082,b0030,MG1655,rihC,JW0028
P22564,RIHC_ECOLI,EG11082,b0030,MG1655,yaaF,JW0028
P30864,YAFC_ECOLI,EG11649,b0208,MG1655,yafC,JW0198
P76008,LDCA_ECOLI,EG13898,b1192,MG1655,ldcA,JW1181
P76008,LDCA_ECOLI,EG13898,b1192,MG1655,ycgQ,JW1181
P77588,YDEQ_ECOLI,EG13799,b1502,MG1655,ydeQ,JW1496
P76146,YNEE_ECOLI,EG13813,b1520,MG1655,yneE,JW5245
P0A9Q5,ACCD_ECOLI,EG10217,b2316,MG1655,accD,JW2313
P0A9Q5,ACCD_ECOLI,EG10217,b2316,MG1655,dedB,JW2313
P0A9Q5,ACCD_ECOLI,EG10217,b2316,MG1655,usg,JW2313
P24202,MRR_ECOLI,EG10612,b4351,MG1655,mrr,JW4314
P39399,YJJM_ECOLI,EG12589,b4357,MG1655,yjjM,JW5792
P0A725,LPXC_ECOLI,EG10265,b0096,MG1655,lpxC,JW0094
P0A725,LPXC_ECOLI,EG10265,b0096,MG1655,asmB,JW0094
P0A725,LPXC_ECOLI,EG10265,b0096,MG1655,envA,JW0094
P0AA53,QMCA_ECOLI,EG13258,b0489,MG1655,qmcA,JW0478
P0AA53,QMCA_ECOLI,EG13258,b0489,MG1655,ybbK,JW0478
P46125,YEDI_ECOLI,EG12709,b1958,MG1655,yedI,JW1941
Q47005,NAC_ECOLI,EG14265,b1988,MG1655,nac,JW1967
P33362,OSMF_ECOLI,EG12012,b2131,MG1655,osmF,JW2119
P33362,OSMF_ECOLI,EG12012,b2131,MG1655,yehZ,JW2119
P0A8V0,RBN_ECOLI,EG14260,b2268,MG1655,rbn,JW2263
P0A8V0,RBN_ECOLI,EG14260,b2268,MG1655,elaC,JW2263
P0A8V0,RBN_ECOLI,EG14260,b2268,MG1655,rnz,JW2263
Q46896,CAS1_ECOLI,EG13114,b2755,MG1655,ygbT,JW2725
Q46896,CAS1_ECOLI,EG13114,b2755,MG1655,cas1,JW2725
P0A9F6,GCVA_ECOLI,EG11795,b2808,MG1655,gcvA,JW2779
P0ACQ4,OXYR_ECOLI,EG10681,b3961,MG1655,oxyR,JW3933
P0ACQ4,OXYR_ECOLI,EG10681,b3961,MG1655,momR,JW3933
P0ACQ4,OXYR_ECOLI,EG10681,b3961,MG1655,mor,JW3933
P07862,DDLB_ECOLI,EG10214,b0092,MG1655,ddlB,JW0090
P07862,DDLB_ECOLI,EG10214,b0092,MG1655,ddl,JW0090
P0AAX8,YBIS_ECOLI,EG13324,b0819,MG1655,ybiS,JW0803
P75798,GSIC_ECOLI,EG13474,b0831,MG1655,gsiC,JW0815
P75798,GSIC_ECOLI,EG13474,b0831,MG1655,yliC,JW0815
P36659,CBPA_ECOLI,EG12193,b1000,MG1655,cbpA,JW0985
P0ACV0,HTRB_ECOLI,EG10464,b1054,MG1655,htrB,JW1041
P0ACV0,HTRB_ECOLI,EG10464,b1054,MG1655,waaM,JW1041
P0AFH2,OPPB_ECOLI,EG10675,b1244,MG1655,oppB,JW1236
P76049,YCJY_ECOLI,EG13922,b1327,MG1655,ycjY,JW5804
P0AA70,YEDA_ECOLI,EG11141,b1959,MG1655,yedA,JW1942
P77293,GTRB_ECOLI,EG14132,b2351,MG1655,yfdH,JW2347
P0ACV2,DDG_ECOLI,EG12901,b2378,MG1655,lpxP,JW2375
P0ACV2,DDG_ECOLI,EG12901,b2378,MG1655,ddg,JW2375
P60651,SPEB_ECOLI,EG10960,b2937,MG1655,speB,JW2904
P03841,MALM_ECOLI,EG10559,b4037,MG1655,malM,JW3997
P03841,MALM_ECOLI,EG10559,b4037,MG1655,molA,JW3997
P39387,YJIP_ECOLI,EG12577,b4339,MG1655,yjiP,JW4302
P39387,YJIP_ECOLI,EG12577,b4339,MG1655,yjiQ,JW4302
P75931,YCEM_ECOLI,EG13879,b1068,MG1655,yceM,JW1055
P75931,YCEM_ECOLI,EG13879,b1068,MG1655,mviM,JW1055
P77171,YDCI_ECOLI,EG13752,b1422,MG1655,ydcI,JW5226
P76250,DMLR_ECOLI,EG13506,b1799,MG1655,dmlR,JW1788
P76250,DMLR_ECOLI,EG13506,b1799,MG1655,yeaT,JW1788
P16430,HYCD_ECOLI,EG10477,b2722,MG1655,hycD,JW2692
P16430,HYCD_ECOLI,EG10477,b2722,MG1655,hevD,JW2692
P31437,YICL_ECOLI,EG11688,b3660,MG1655,yicL,JW3634
P36879,YADG_ECOLI,EG12320,b0127,MG1655,yadG,JW0123
P27305,GLUQ_ECOLI,EG11362,b0144,MG1655,gluQ,JW5892
P27305,GLUQ_ECOLI,EG11362,b0144,MG1655,yadB,JW5892
P0ACR0,ALLS_ECOLI,EG13267,b0504,MG1655,allS,JW0492
P0ACR0,ALLS_ECOLI,EG13267,b0504,MG1655,glxA1,JW0492
P0ACR0,ALLS_ECOLI,EG13267,b0504,MG1655,ybbS,JW0492
P75782,RLMF_ECOLI,EG13319,b0807,MG1655,rlmF,JW5107
P75782,RLMF_ECOLI,EG13319,b0807,MG1655,ybiN,JW5107
P77622,DDPF_ECOLI,EG13786,b1483,MG1655,ddpF,JW1478
P77622,DDPF_ECOLI,EG13786,b1483,MG1655,yddO,JW1478
P0A6W0,GLSA2_ECOLI,EG13816,b1524,MG1655,glsA2,JW1517
P0A6W0,GLSA2_ECOLI,EG13816,b1524,MG1655,yneH,JW1517
P0AF06,MOTB_ECOLI,EG10602,b1889,MG1655,motB,JW1878
P33360,YEHX_ECOLI,EG12010,b2129,MG1655,yehX,JW2117
P0ACR7,YFER_ECOLI,EG14159,b2409,MG1655,yfeR,JW2400
Q46858,YQHG_ECOLI,EG13017,b3013,MG1655,yqhG,JW5500
Q46858,YQHG_ECOLI,EG13017,b3013,MG1655,yqhF,JW5500
P0AEX7,LIVH_ECOLI,EG10538,b3457,MG1655,livH,JW3422
P32139,YIHR_ECOLI,EG11844,b3879,MG1655,yihR,JW3850
P32166,MENA_ECOLI,EG11880,b3930,MG1655,menA,JW3901
P32166,MENA_ECOLI,EG11880,b3930,MG1655,yiiW,JW3901
P0AAI9,FABD_ECOLI,EG11317,b1092,MG1655,fabD,JW1078
P0AAI9,FABD_ECOLI,EG11317,b1092,MG1655,tfpA,JW1078
P76077,PAAA_ECOLI,EG13736,b1388,MG1655,paaA,JW1383
P76077,PAAA_ECOLI,EG13736,b1388,MG1655,ydbO,JW1383
P16525,TUS_ECOLI,EG11038,b1610,MG1655,tus,JW1602
P16525,TUS_ECOLI,EG11038,b1610,MG1655,tau,JW1602
P06999,PFKB_ECOLI,EG10700,b1723,MG1655,pfkB,JW5280
P76369,YEEY_ECOLI,EG13392,b2015,MG1655,yeeY,JW5834
P0ADW6,YHCC_ECOLI,EG12809,b3211,MG1655,yhcC,JW3178
P67662,AAER_ECOLI,EG12825,b3243,MG1655,aaeR,JW3212
P67662,AAER_ECOLI,EG12825,b3243,MG1655,yhcS,JW3212
P37647,KDGK_ECOLI,EG12253,b3526,MG1655,kdgK,JW5668
P37647,KDGK_ECOLI,EG12253,b3526,MG1655,yhjI,JW5668
P0A9J6,RBSK_ECOLI,EG10818,b3752,MG1655,rbsK,JW3731
P0AB80,ILVE_ECOLI,EG10497,b3770,MG1655,ilvE,JW5606
P13024,FDHE_ECOLI,EG10284,b3891,MG1655,fdhE,JW3862
P07623,META_ECOLI,EG10581,b4013,MG1655,metA,JW3973
P32718,ALSK_ECOLI,EG11956,b4084,MG1655,alsK,JW5724
P32718,ALSK_ECOLI,EG11956,b4084,MG1655,yjcT,JW5724
P00547,KHSE_ECOLI,EG10999,b0003,MG1655,thrB,JW0002
Q47690,MMUM_ECOLI,EG13343,b0261,MG1655,mmuM,JW0253
Q47690,MMUM_ECOLI,EG13343,b0261,MG1655,yagD,JW0253
P77700,YAHB_ECOLI,EG13586,b0316,MG1655,yahB,JW0308
P77454,GLSA1_ECOLI,EG13247,b0485,MG1655,glsA1,JW0474
P77454,GLSA1_ECOLI,EG13247,b0485,MG1655,ybaS,JW0474
P75745,YBGK_ECOLI,EG13307,b0712,MG1655,ybgK,JW0702
P0ACR2,YDHB_ECOLI,EG12140,b1659,MG1655,ydhB,JW1651
P39172,ZNUA_ECOLI,EG12678,b1857,MG1655,znuA,JW5831
P39172,ZNUA_ECOLI,EG12678,b1857,MG1655,yebL,JW5831
P39172,ZNUA_ECOLI,EG12678,b1857,MG1655,yzzP,JW5831
P39176,ERFK_ECOLI,EG12682,b1990,MG1655,erfK,JW1968
P39176,ERFK_ECOLI,EG12682,b1990,MG1655,yeeG,JW1968
P39176,ERFK_ECOLI,EG12682,b1990,MG1655,yzzT,JW1968
P0AFI5,PBP7_ECOLI,EG12015,b2134,MG1655,pbpG,JW5355
P0AFI5,PBP7_ECOLI,EG12015,b2134,MG1655,yohB,JW5355
P39199,PRMB_ECOLI,EG12449,b2330,MG1655,prmB,JW5841
P39199,PRMB_ECOLI,EG12449,b2330,MG1655,yfcB,JW5841
P37327,YFDC_ECOLI,EG12420,b2347,MG1655,yfdC,JW2344
Q46807,ARCL_ECOLI,EG13057,b2874,MG1655,yqeA,JW2842
P45463,TTDR_ECOLI,EG12694,b3060,MG1655,ttdR,JW3032
P45463,TTDR_ECOLI,EG12694,b3060,MG1655,ygiP,JW3032
P46482,AAEA_ECOLI,EG12823,b3241,MG1655,aaeA,JW3210
P46482,AAEA_ECOLI,EG12823,b3241,MG1655,yhcQ,JW3210
P67910,HLDD_ECOLI,EG10838,b3619,MG1655,hldD,JW3594
P67910,HLDD_ECOLI,EG10838,b3619,MG1655,htrM,JW3594
P67910,HLDD_ECOLI,EG10838,b3619,MG1655,rfaD,JW3594
P67910,HLDD_ECOLI,EG10838,b3619,MG1655,waaD,JW3594
P32129,YIHG_ECOLI,EG11833,b3862,MG1655,yihG,JW3834
P41409,RIHA_ECOLI,EG12701,b0651,MG1655,rihA,JW0646
P41409,RIHA_ECOLI,EG12701,b0651,MG1655,ybeK,JW0646
P76055,TTCA_ECOLI,EG13357,b1344,MG1655,ttcA,JW1338
P76055,TTCA_ECOLI,EG13357,b1344,MG1655,ydaO,JW1338
P46068,DSDC_ECOLI,EG13161,b2364,MG1655,dsdC,JW2361
P03030,LYSR_ECOLI,EG10551,b2839,MG1655,lysR,JW2807
P27126,RFAS_ECOLI,EG11350,b3629,MG1655,rfaS,JW3604
P39265,ALSB_ECOLI,EG12458,b4088,MG1655,alsB,JW4049
P39265,ALSB_ECOLI,EG12458,b4088,MG1655,yjcX,JW4049
P0A786,PYRB_ECOLI,EG10805,b4245,MG1655,pyrB,JW4204
P75913,GHRA_ECOLI,EG13869,b1033,MG1655,ghrA,JW5146
P75913,GHRA_ECOLI,EG13869,b1033,MG1655,ycdW,JW5146
P77378,YDIR_ECOLI,EG13977,b1698,MG1655,ydiR,JW1688
P33025,PSUG_ECOLI,EG12033,b2165,MG1655,psuG,JW2152
P33025,PSUG_ECOLI,EG12033,b2165,MG1655,pscG,JW2152
P33025,PSUG_ECOLI,EG12033,b2165,MG1655,yeiN,JW2152
P0AEW9,K1PF_ECOLI,EG10337,b2168,MG1655,fruK,JW2155
P0AEW9,K1PF_ECOLI,EG10337,b2168,MG1655,fpk,JW2155
P36771,LRHA_ECOLI,EG12123,b2289,MG1655,lrhA,JW2284
P36771,LRHA_ECOLI,EG12123,b2289,MG1655,genR,JW2284
P0ACQ7,TDCA_ECOLI,EG10989,b3118,MG1655,tdcA,JW3089
P61889,MDH_ECOLI,EG10576,b3236,MG1655,mdh,JW3205
P39317,YTFI_ECOLI,EG12509,b4215,MG1655,ytfI,JW5748
P0AG40,RIBF_ECOLI,EG11079,b0025,MG1655,ribF,JW0023
P0AG40,RIBF_ECOLI,EG11079,b0025,MG1655,yaaC,JW0023
P31574,FIXB_ECOLI,EG11563,b0042,MG1655,fixB,JW0041
P31574,FIXB_ECOLI,EG11563,b0042,MG1655,yaaR,JW0041
P60390,RSMH_ECOLI,EG11085,b0082,MG1655,rsmH,JW0080
P60390,RSMH_ECOLI,EG11085,b0082,MG1655,mraW,JW0080
P60390,RSMH_ECOLI,EG11085,b0082,MG1655,yabC,JW0080
P75757,ZITB_ECOLI,EG13662,b0752,MG1655,zitB,JW0735
P75757,ZITB_ECOLI,EG13662,b0752,MG1655,ybgR,JW0735
P75942,FLGJ_ECOLI,EG14272,b1081,MG1655,flgJ,JW1068
P75942,FLGJ_ECOLI,EG14272,b1081,MG1655,fla,JW1068
P75942,FLGJ_ECOLI,EG14272,b1081,MG1655,FX,JW1068
P75942,FLGJ_ECOLI,EG14272,b1081,MG1655,flaZ,JW1068
P77156,YDCU_ECOLI,EG13764,b1442,MG1655,ydcU,JW1437
P33022,RIHB_ECOLI,EG12030,b2162,MG1655,rihB,JW2149
P33022,RIHB_ECOLI,EG12030,b2162,MG1655,yeiK,JW2149
P30235,PSUK_ECOLI,EG11646,b2166,MG1655,psuK,JW2153
P30235,PSUK_ECOLI,EG11646,b2166,MG1655,pscK,JW2153
P30235,PSUK_ECOLI,EG11646,b2166,MG1655,yeiC,JW2153
P06983,HEM3_ECOLI,EG10429,b3805,MG1655,hemC,JW5932
P06983,HEM3_ECOLI,EG10429,b3805,MG1655,popE,JW5932
P10151,LEUO_ECOLI,EG10531,b0076,MG1655,leuO,JW0075
P0ABR9,MHPB_ECOLI,EG20274,b0348,MG1655,mhpB,JW0339
P76177,YDGH_ECOLI,EG13929,b1604,MG1655,ydgH,JW1596
P0AA49,YFDV_ECOLI,EG14144,b2372,MG1655,yfdV,JW2369
P60340,TRUB_ECOLI,EG11177,b3166,MG1655,truB,JW3135
P60340,TRUB_ECOLI,EG11177,b3166,MG1655,yhbA,JW3135
P33591,NIKB_ECOLI,EG12076,b3477,MG1655,nikB,JW3442
P0ABJ1,CYOA_ECOLI,EG10178,b0432,MG1655,cyoA,JW0422
P0A717,KPRS_ECOLI,EG10774,b1207,MG1655,prs,JW1198
P0A717,KPRS_ECOLI,EG10774,b1207,MG1655,prsA,JW1198
P76147,YNEF_ECOLI,EG13814,b1522,MG1655,yneF,JW5825
P77493,YDJH_ECOLI,EG13484,b1772,MG1655,ydjH,JW5289
P33371,DUSC_ECOLI,EG12022,b2140,MG1655,dusC,JW2128
P33371,DUSC_ECOLI,EG12022,b2140,MG1655,yohI,JW2128
P77858,HYFC_ECOLI,EG14211,b2483,MG1655,hyfC,JW2468
P23882,FMT_ECOLI,EG11268,b3288,MG1655,fmt,JW3249
P23882,FMT_ECOLI,EG11268,b3288,MG1655,yhdD,JW3249
P36673,TRER_ECOLI,EG12202,b4241,MG1655,treR,JW4200
P62623,ISPH_ECOLI,EG11081,b0029,MG1655,ispH,JW0027
P62623,ISPH_ECOLI,EG11081,b0029,MG1655,lytB,JW0027
P62623,ISPH_ECOLI,EG11081,b0029,MG1655,yaaE,JW0027
P77624,ARCM_ECOLI,EG13593,b0323,MG1655,yahI,JW0315
P77580,ACDH_ECOLI,EG13625,b0351,MG1655,mhpF,JW0342
P77580,ACDH_ECOLI,EG13625,b0351,MG1655,mhpE,JW0342
P0AAC0,USPE_ECOLI,EG11246,b1333,MG1655,uspE,JW1327
P0AAC0,USPE_ECOLI,EG11246,b1333,MG1655,ydaA,JW1327
P76086,PAAX_ECOLI,EG13746,b1399,MG1655,paaX,JW1394
P76086,PAAX_ECOLI,EG13746,b1399,MG1655,ydbY,JW1394
Q47083,CBL_ECOLI,EG14264,b1987,MG1655,cbl,JW1966
P0A867,TALA_ECOLI,EG11797,b2464,MG1655,talA,JW2448
P04425,GSHB_ECOLI,EG10419,b2947,MG1655,gshB,JW2914
P04425,GSHB_ECOLI,EG10419,b2947,MG1655,gsh-II,JW2914
P0ABI4,CORA_ECOLI,EG11463,b3816,MG1655,corA,JW3789
P0A6I3,COAA_ECOLI,EG10922,b3974,MG1655,coaA,JW3942
P0A6I3,COAA_ECOLI,EG10922,b3974,MG1655,panK,JW3942
P0A6I3,COAA_ECOLI,EG10922,b3974,MG1655,rts,JW3942
P16384,MIAA_ECOLI,EG10595,b4171,MG1655,miaA,JW4129
P16384,MIAA_ECOLI,EG10595,b4171,MG1655,trpX,JW4129
P0A870,TALB_ECOLI,EG11556,b0008,MG1655,talB,JW0007
P0A870,TALB_ECOLI,EG11556,b0008,MG1655,yaaK,JW0007
P09169,OMPT_ECOLI,EG10673,b0565,MG1655,ompT,JW0554
P30979,YBEF_ECOLI,EG11594,b0629,MG1655,ybeF,JW0624
P52696,YBHD_ECOLI,EG13230,b0768,MG1655,ybhD,JW5896
P31135,POTH_ECOLI,EG11631,b0856,MG1655,potH,JW0840
P29744,FLGL_ECOLI,EG11545,b1083,MG1655,flgL,JW1070
P29744,FLGL_ECOLI,EG11545,b1083,MG1655,flaT,JW1070
P29744,FLGL_ECOLI,EG11545,b1083,MG1655,flaU,JW1070
P0A6R0,FABH_ECOLI,EG10277,b1091,MG1655,fabH,JW1077
P76141,LSRR_ECOLI,EG13805,b1512,MG1655,lsrR,JW1505
P76141,LSRR_ECOLI,EG13805,b1512,MG1655,ydeW,JW1505
P0A9F9,METR_ECOLI,EG10591,b3828,MG1655,metR,JW3804
P23485,FECR_ECOLI,EG10292,b4292,MG1655,fecR,JW4252
P77183,YAGQ_ECOLI,EG13556,b0283,MG1655,yagQ,JW0277
P77324,YAGS_ECOLI,EG13558,b0285,MG1655,yagS,JW0279
P0AEL6,FEPB_ECOLI,EG10294,b0592,MG1655,fepB,JW0584
P75770,YBHN_ECOLI,EG13670,b0788,MG1655,ybhN,JW0771
P76123,YDDK_ECOLI,EG13782,b1471,MG1655,yddK,JW1467
P0AFX9,RSEB_ECOLI,EG13177,b2571,MG1655,rseB,JW2555
P52123,YFJH_ECOLI,EG13194,b2623,MG1655,yfjH,JW2603
Q46855,YQHC_ECOLI,EG13013,b3010,MG1655,yqhC,JW5849
P32709,NRFD_ECOLI,EG11947,b4073,MG1655,nrfD,JW4034
P32709,NRFD_ECOLI,EG11947,b4073,MG1655,yjcK,JW4034
P39325,YTFQ_ECOLI,EG12517,b4227,MG1655,ytfQ,JW4186
P15029,FECD_ECOLI,EG10289,b4288,MG1655,fecD,JW4248
P24203,YJIA_ECOLI,EG10021,b4352,MG1655,yjiA,JW5790
P0ABD5,ACCA_ECOLI,EG11647,b0185,MG1655,accA,JW0180
P23872,AES_ECOLI,EG11101,b0476,MG1655,aes,JW0465
P23872,AES_ECOLI,EG11101,b0476,MG1655,ybaC,JW0465
P75853,SSUA_ECOLI,EG13707,b0936,MG1655,ssuA,JW0919
P75853,SSUA_ECOLI,EG13707,b0936,MG1655,ycbO,JW0919
P0AA39,RLUC_ECOLI,EG11118,b1086,MG1655,rluC,JW1072
P0AA39,RLUC_ECOLI,EG11118,b1086,MG1655,yceC,JW1072
P37146,RIR4_ECOLI,EG12381,b2676,MG1655,nrdF,JW2651
P37146,RIR4_ECOLI,EG12381,b2676,MG1655,ygaD,JW2651
P56580,PTHB_ECOLI,EG14373,b2703,MG1655,srlE,JW5430
P56580,PTHB_ECOLI,EG14373,b2703,MG1655,gutE,JW5430
P37691,YIBQ_ECOLI,EG12298,b3614,MG1655,yibQ,JW5645
P24173,RFAC_ECOLI,EG11189,b3621,MG1655,rfaC,JW3596
P24173,RFAC_ECOLI,EG11189,b3621,MG1655,rfa-2,JW3596
P24173,RFAC_ECOLI,EG11189,b3621,MG1655,waaC,JW3596
P24173,RFAC_ECOLI,EG11189,b3621,MG1655,yibC,JW3596
P31463,YIDZ_ECOLI,EG11721,b3711,MG1655,yidZ,JW3689
P0AGH8,PSTC_ECOLI,EG10784,b3727,MG1655,pstC,JW3705
P0AGH8,PSTC_ECOLI,EG10784,b3727,MG1655,phoW,JW3705
P29131,FTSN_ECOLI,EG11529,b3933,MG1655,ftsN,JW3904
P29131,FTSN_ECOLI,EG11529,b3933,MG1655,msgA,JW3904
Q47537,TAUA_ECOLI,EG13300,b0365,MG1655,tauA,JW0357
Q47537,TAUA_ECOLI,EG13300,b0365,MG1655,ssiA,JW0357
Q47537,TAUA_ECOLI,EG13300,b0365,MG1655,yaiR,JW0357
P23871,HEMH_ECOLI,EG10431,b0475,MG1655,hemH,JW0464
P23871,HEMH_ECOLI,EG10431,b0475,MG1655,popA,JW0464
P23871,HEMH_ECOLI,EG10431,b0475,MG1655,visA,JW0464
P30177,YBIB_ECOLI,EG11580,b0800,MG1655,ybiB,JW0785
P75954,YCFS_ECOLI,EG13437,b1113,MG1655,ycfS,JW5820
P77515,STFQ_ECOLI,EG13826,b1547,MG1655,stfQ,JW1540
P77515,STFQ_ECOLI,EG13826,b1547,MG1655,ydfN,JW1540
P29208,MENC_ECOLI,EG11532,b2261,MG1655,menC,JW2256
P0A796,PFKA_ECOLI,EG10699,b3916,MG1655,pfkA,JW3887
P60716,LIPA_ECOLI,EG11306,b0628,MG1655,lipA,JW0623
P60716,LIPA_ECOLI,EG11306,b0628,MG1655,lip,JW0623
P37595,IAAA_ECOLI,EG12407,b0828,MG1655,iaaA,JW0812
P37595,IAAA_ECOLI,EG12407,b0828,MG1655,spt,JW0812
P37595,IAAA_ECOLI,EG12407,b0828,MG1655,ybiK,JW0812
P0A9P4,TRXB_ECOLI,EG11032,b0888,MG1655,trxB,JW0871
P0AGH3,SAPB_ECOLI,EG20255,b1293,MG1655,sapB,JW1286
P51981,AEEP_ECOLI,EG13228,b1325,MG1655,ycjG,JW1318
P51981,AEEP_ECOLI,EG13228,b1325,MG1655,ycjH,JW1318
P76254,YEAX_ECOLI,EG13510,b1803,MG1655,yeaX,JW1792
P32055,FCL_ECOLI,EG11788,b2052,MG1655,fcl,JW2037
P32055,FCL_ECOLI,EG11788,b2052,MG1655,wcaG,JW2037
P32055,FCL_ECOLI,EG11788,b2052,MG1655,yefB,JW2037
P76419,YEGV_ECOLI,EG14065,b2100,MG1655,yegV,JW2087
P0A6V8,GLK_ECOLI,EG12957,b2388,MG1655,glk,JW2385
P17115,GUTQ_ECOLI,EG10973,b2708,MG1655,gutQ,JW5431
P17115,GUTQ_ECOLI,EG10973,b2708,MG1655,srlQ,JW5431
